random_seed,window_id,window_group,duration_years,draw_index,requested_start,requested_end,start_month_num,complete_window,terminal_near_complete
1246746679971163672,random_1y_038_20210511,random_1y,1,38,2021-05-11,2022-05-10,5,1,0
1246746679971163672,random_1y_039_20240903,random_1y,1,39,2024-09-03,2025-09-02,9,1,0
1246746679971163672,random_1y_040_20180418,random_1y,1,40,2018-04-18,2019-04-17,4,1,0
1246746679971163672,random_1y_041_20231030,random_1y,1,41,2023-10-30,2024-10-29,10,1,0
1246746679971163672,random_1y_042_20241115,random_1y,1,42,2024-11-15,2025-11-14,11,1,0
1246746679971163672,random_1y_043_20200709,random_1y,1,43,2020-07-09,2021-07-08,7,1,0
1246746679971163672,random_1y_044_20240423,random_1y,1,44,2024-04-23,2025-04-22,4,1,0
1246746679971163672,random_1y_045_20231016,random_1y,1,45,2023-10-16,2024-10-15,10,1,0
1246746679971163672,random_1y_046_20190429,random_1y,1,46,2019-04-29,2020-04-28,4,1,0
1246746679971163672,random_1y_047_20240806,random_1y,1,47,2024-08-06,2025-08-05,8,1,0
1246746679971163672,random_1y_048_20240527,random_1y,1,48,2024-05-27,2025-05-26,5,1,0
1246746679971163672,random_1y_049_20200107,random_1y,1,49,2020-01-07,2021-01-06,1,1,0
1246746679971163672,random_1y_050_20220905,random_1y,1,50,2022-09-05,2023-09-04,9,1,0
1246746679971163672,random_1y_051_20190528,random_1y,1,51,2019-05-28,2020-05-27,5,1,0
1246746679971163672,random_1y_052_20220125,random_1y,1,52,2022-01-25,2023-01-24,1,1,0
1246746679971163672,random_1y_053_20240528,random_1y,1,53,2024-05-28,2025-05-27,5,1,0
1246746679971163672,random_1y_054_20250707,random_1y,1,54,2025-07-07,2026-07-06,7,1,0
1246746679971163672,random_1y_055_20200630,random_1y,1,55,2020-06-30,2021-06-29,6,1,0
1246746679971163672,random_1y_056_20230511,random_1y,1,56,2023-05-11,2024-05-10,5,1,0
1246746679971163672,random_1y_057_20231229,random_1y,1,57,2023-12-29,2024-12-28,12,1,0
1246746679971163672,random_1y_058_20180529,random_1y,1,58,2018-05-29,2019-05-28,5,1,0
1246746679971163672,random_1y_059_20230602,random_1y,1,59,2023-06-02,2024-06-01,6,1,0
1246746679971163672,random_1y_060_20220624,random_1y,1,60,2022-06-24,2023-06-23,6,1,0
1246746679971163672,random_1y_061_20250626,random_1y,1,61,2025-06-26,2026-06-25,6,1,0
1246746679971163672,random_1y_062_20201217,random_1y,1,62,2020-12-17,2021-12-16,12,1,0
1246746679971163672,random_1y_063_20240221,random_1y,1,63,2024-02-21,2025-02-20,2,1,0
1246746679971163672,random_1y_064_20181114,random_1y,1,64,2018-11-14,2019-11-13,11,1,0
1246746679971163672,random_2y_001_20200602,random_2y,2,1,2020-06-02,2022-06-01,6,1,0
1246746679971163672,random_2y_002_20230130,random_2y,2,2,2023-01-30,2025-01-29,1,1,0
1246746679971163672,random_2y_003_20220215,random_2y,2,3,2022-02-15,2024-02-14,2,1,0
1246746679971163672,random_2y_004_20240422,random_2y,2,4,2024-04-22,2026-04-21,4,1,0
1246746679971163672,random_2y_005_20231130,random_2y,2,5,2023-11-30,2025-11-29,11,1,0
1246746679971163672,random_2y_006_20230919,random_2y,2,6,2023-09-19,2025-09-18,9,1,0
1246746679971163672,random_2y_007_20181019,random_2y,2,7,2018-10-19,2020-10-18,10,1,0
1246746679971163672,random_2y_008_20230427,random_2y,2,8,2023-04-27,2025-04-26,4,1,0
1246746679971163672,random_2y_009_20221209,random_2y,2,9,2022-12-09,2024-12-08,12,1,0
1246746679971163672,random_2y_010_20190219,random_2y,2,10,2019-02-19,2021-02-18,2,1,0
1246746679971163672,random_2y_011_20201214,random_2y,2,11,2020-12-14,2022-12-13,12,1,0
1246746679971163672,random_2y_012_20220804,random_2y,2,12,2022-08-04,2024-08-03,8,1,0
1246746679971163672,random_2y_013_20210329,random_2y,2,13,2021-03-29,2023-03-28,3,1,0
1246746679971163672,random_2y_014_20181206,random_2y,2,14,2018-12-06,2020-12-05,12,1,0
1246746679971163672,random_2y_015_20221101,random_2y,2,15,2022-11-01,2024-10-31,11,1,0
1246746679971163672,random_2y_016_20200922,random_2y,2,16,2020-09-22,2022-09-21,9,1,0
1246746679971163672,random_2y_017_20211118,random_2y,2,17,2021-11-18,2023-11-17,11,1,0
1246746679971163672,random_2y_018_20180327,random_2y,2,18,2018-03-27,2020-03-26,3,1,0
1246746679971163672,random_2y_019_20200110,random_2y,2,19,2020-01-10,2022-01-09,1,1,0
1246746679971163672,random_2y_020_20230214,random_2y,2,20,2023-02-14,2025-02-13,2,1,0
1246746679971163672,random_2y_021_20230614,random_2y,2,21,2023-06-14,2025-06-13,6,1,0
1246746679971163672,random_2y_022_20230406,random_2y,2,22,2023-04-06,2025-04-05,4,1,0
1246746679971163672,random_2y_023_20210601,random_2y,2,23,2021-06-01,2023-05-31,6,1,0
1246746679971163672,random_2y_024_20230821,random_2y,2,24,2023-08-21,2025-08-20,8,1,0
1246746679971163672,random_2y_025_20211109,random_2y,2,25,2021-11-09,2023-11-08,11,1,0
1246746679971163672,random_2y_026_20231025,random_2y,2,26,2023-10-25,2025-10-24,10,1,0
1246746679971163672,random_2y_027_20210910,random_2y,2,27,2021-09-10,2023-09-09,9,1,0
1246746679971163672,random_2y_028_20180827,random_2y,2,28,2018-08-27,2020-08-26,8,1,0
1246746679971163672,random_2y_029_20231109,random_2y,2,29,2023-11-09,2025-11-08,11,1,0
1246746679971163672,random_2y_030_20180102,random_2y,2,30,2018-01-02,2020-01-01,1,1,0
1246746679971163672,random_2y_031_20210813,random_2y,2,31,2021-08-13,2023-08-12,8,1,0
1246746679971163672,random_2y_032_20220119,random_2y,2,32,2022-01-19,2024-01-18,1,1,0
1246746679971163672,random_2y_033_20210806,random_2y,2,33,2021-08-06,2023-08-05,8,1,0
1246746679971163672,random_2y_034_20200806,random_2y,2,34,2020-08-06,2022-08-05,8,1,0
1246746679971163672,random_2y_035_20221223,random_2y,2,35,2022-12-23,2024-12-22,12,1,0
1246746679971163672,random_2y_036_20230531,random_2y,2,36,2023-05-31,2025-05-30,5,1,0
1246746679971163672,random_2y_037_20210922,random_2y,2,37,2021-09-22,2023-09-21,9,1,0
1246746679971163672,random_2y_038_20211215,random_2y,2,38,2021-12-15,2023-12-14,12,1,0
1246746679971163672,random_2y_039_20190509,random_2y,2,39,2019-05-09,2021-05-08,5,1,0
1246746679971163672,random_2y_040_20200309,random_2y,2,40,2020-03-09,2022-03-08,3,1,0
1246746679971163672,random_2y_041_20181107,random_2y,2,41,2018-11-07,2020-11-06,11,1,0
1246746679971163672,random_2y_042_20200228,random_2y,2,42,2020-02-28,2022-02-27,2,1,0
1246746679971163672,random_2y_043_20180724,random_2y,2,43,2018-07-24,2020-07-23,7,1,0
1246746679971163672,random_2y_044_20180205,random_2y,2,44,2018-02-05,2020-02-04,2,1,0
1246746679971163672,random_2y_045_20240305,random_2y,2,45,2024-03-05,2026-03-04,3,1,0
1246746679971163672,random_2y_046_20230306,random_2y,2,46,2023-03-06,2025-03-05,3,1,0
1246746679971163672,random_2y_047_20200911,random_2y,2,47,2020-09-11,2022-09-10,9,1,0
1246746679971163672,random_2y_048_20230227,random_2y,2,48,2023-02-27,2025-02-26,2,1,0
1246746679971163672,random_2y_049_20230209,random_2y,2,49,2023-02-09,2025-02-08,2,1,0
1246746679971163672,random_2y_050_20180521,random_2y,2,50,2018-05-21,2020-05-20,5,1,0
1246746679971163672,random_2y_051_20201110,random_2y,2,51,2020-11-10,2022-11-09,11,1,0
1246746679971163672,random_2y_052_20190419,random_2y,2,52,2019-04-19,2021-04-18,4,1,0
1246746679971163672,random_2y_053_20191218,random_2y,2,53,2019-12-18,2021-12-17,12,1,0
1246746679971163672,random_2y_054_20190513,random_2y,2,54,2019-05-13,2021-05-12,5,1,0
1246746679971163672,random_2y_055_20220209,random_2y,2,55,2022-02-09,2024-02-08,2,1,0
1246746679971163672,random_2y_056_20240328,random_2y,2,56,2024-03-28,2026-03-27,3,1,0
1246746679971163672,random_2y_057_20181224,random_2y,2,57,2018-12-24,2020-12-23,12,1,0
1246746679971163672,random_2y_058_20180315,random_2y,2,58,2018-03-15,2020-03-14,3,1,0
1246746679971163672,random_2y_059_20220321,random_2y,2,59,2022-03-21,2024-03-20,3,1,0
1246746679971163672,random_2y_060_20201225,random_2y,2,60,2020-12-25,2022-12-24,12,1,0
1246746679971163672,random_2y_061_20180831,random_2y,2,61,2018-08-31,2020-08-30,8,1,0
1246746679971163672,random_2y_062_20230628,random_2y,2,62,2023-06-28,2025-06-27,6,1,0
1246746679971163672,random_2y_063_20240619,random_2y,2,63,2024-06-19,2026-06-18,6,1,0
1246746679971163672,random_2y_064_20190920,random_2y,2,64,2019-09-20,2021-09-19,9,1,0
1246746679971163672,random_3y_001_20210810,random_3y,3,1,2021-08-10,2024-08-09,8,1,0
1246746679971163672,random_3y_002_20211028,random_3y,3,2,2021-10-28,2024-10-27,10,1,0
1246746679971163672,random_3y_003_20230609,random_3y,3,3,2023-06-09,2026-06-08,6,1,0
1246746679971163672,random_3y_004_20230620,random_3y,3,4,2023-06-20,2026-06-19,6,1,0
1246746679971163672,random_3y_005_20190125,random_3y,3,5,2019-01-25,2022-01-24,1,1,0
1246746679971163672,random_3y_006_20200508,random_3y,3,6,2020-05-08,2023-05-07,5,1,0
1246746679971163672,random_3y_007_20200604,random_3y,3,7,2020-06-04,2023-06-03,6,1,0
1246746679971163672,random_3y_008_20221121,random_3y,3,8,2022-11-21,2025-11-20,11,1,0
1246746679971163672,random_3y_009_20190814,random_3y,3,9,2019-08-14,2022-08-13,8,1,0
1246746679971163672,random_3y_010_20201103,random_3y,3,10,2020-11-03,2023-11-02,11,1,0
1246746679971163672,random_3y_011_20180703,random_3y,3,11,2018-07-03,2021-07-02,7,1,0
1246746679971163672,random_3y_012_20211025,random_3y,3,12,2021-10-25,2024-10-24,10,1,0
1246746679971163672,random_3y_013_20220906,random_3y,3,13,2022-09-06,2025-09-05,9,1,0
1246746679971163672,random_3y_014_20180827,random_3y,3,14,2018-08-27,2021-08-26,8,1,0
1246746679971163672,random_3y_015_20200313,random_3y,3,15,2020-03-13,2023-03-12,3,1,0
1246746679971163672,random_3y_016_20230615,random_3y,3,16,2023-06-15,2026-06-14,6,1,0
1246746679971163672,random_3y_017_20200211,random_3y,3,17,2020-02-11,2023-02-10,2,1,0
1246746679971163672,random_3y_018_20210604,random_3y,3,18,2021-06-04,2024-06-03,6,1,0
1246746679971163672,random_3y_019_20230809,random_3y,3,19,2023-08-09,2026-08-08,8,1,0
1246746679971163672,random_3y_020_20181119,random_3y,3,20,2018-11-19,2021-11-18,11,1,0
1246746679971163672,random_3y_021_20230829,random_3y,3,21,2023-08-29,2026-08-28,8,1,0
1246746679971163672,random_3y_022_20181207,random_3y,3,22,2018-12-07,2021-12-06,12,1,0
1246746679971163672,random_3y_023_20180129,random_3y,3,23,2018-01-29,2021-01-28,1,1,0
1246746679971163672,random_3y_024_20210726,random_3y,3,24,2021-07-26,2024-07-25,7,1,0
1246746679971163672,random_3y_025_20220216,random_3y,3,25,2022-02-16,2025-02-15,2,1,0
1246746679971163672,random_3y_026_20220211,random_3y,3,26,2022-02-11,2025-02-10,2,1,0
1246746679971163672,random_3y_027_20210317,random_3y,3,27,2021-03-17,2024-03-16,3,1,0
1246746679971163672,random_3y_028_20210706,random_3y,3,28,2021-07-06,2024-07-05,7,1,0
1246746679971163672,random_3y_029_20190516,random_3y,3,29,2019-05-16,2022-05-15,5,1,0
1246746679971163672,random_3y_030_20211022,random_3y,3,30,2021-10-22,2024-10-21,10,1,0
1246746679971163672,random_3y_031_20180502,random_3y,3,31,2018-05-02,2021-05-01,5,1,0
1246746679971163672,random_3y_032_20200123,random_3y,3,32,2020-01-23,2023-01-22,1,1,0
1246746679971163672,random_3y_033_20200416,random_3y,3,33,2020-04-16,2023-04-15,4,1,0
1246746679971163672,random_3y_034_20210527,random_3y,3,34,2021-05-27,2024-05-26,5,1,0
1246746679971163672,random_3y_035_20230526,random_3y,3,35,2023-05-26,2026-05-25,5,1,0
1246746679971163672,random_3y_036_20230303,random_3y,3,36,2023-03-03,2026-03-02,3,1,0
1246746679971163672,random_3y_037_20190904,random_3y,3,37,2019-09-04,2022-09-03,9,1,0
1246746679971163672,random_3y_038_20200214,random_3y,3,38,2020-02-14,2023-02-13,2,1,0
1246746679971163672,random_3y_039_20210705,random_3y,3,39,2021-07-05,2024-07-04,7,1,0
1246746679971163672,random_3y_040_20181011,random_3y,3,40,2018-10-11,2021-10-10,10,1,0
1246746679971163672,random_3y_041_20210512,random_3y,3,41,2021-05-12,2024-05-11,5,1,0
1246746679971163672,random_3y_042_20200428,random_3y,3,42,2020-04-28,2023-04-27,4,1,0
1246746679971163672,random_3y_043_20191128,random_3y,3,43,2019-11-28,2022-11-27,11,1,0
1246746679971163672,random_3y_044_20180702,random_3y,3,44,2018-07-02,2021-07-01,7,1,0
1246746679971163672,random_3y_045_20190311,random_3y,3,45,2019-03-11,2022-03-10,3,1,0
1246746679971163672,random_3y_046_20210719,random_3y,3,46,2021-07-19,2024-07-18,7,1,0
1246746679971163672,random_3y_047_20230412,random_3y,3,47,2023-04-12,2026-04-11,4,1,0
1246746679971163672,random_3y_048_20230605,random_3y,3,48,2023-06-05,2026-06-04,6,1,0
1246746679971163672,random_3y_049_20201102,random_3y,3,49,2020-11-02,2023-11-01,11,1,0
1246746679971163672,random_3y_050_20220617,random_3y,3,50,2022-06-17,2025-06-16,6,1,0
1246746679971163672,random_3y_051_20211118,random_3y,3,51,2021-11-18,2024-11-17,11,1,0
1246746679971163672,random_3y_052_20210802,random_3y,3,52,2021-08-02,2024-08-01,8,1,0
1246746679971163672,random_3y_053_20201125,random_3y,3,53,2020-11-25,2023-11-24,11,1,0
1246746679971163672,random_3y_054_20180418,random_3y,3,54,2018-04-18,2021-04-17,4,1,0
1246746679971163672,random_3y_055_20230202,random_3y,3,55,2023-02-02,2026-02-01,2,1,0
1246746679971163672,random_3y_056_20210106,random_3y,3,56,2021-01-06,2024-01-05,1,1,0
1246746679971163672,random_3y_057_20190611,random_3y,3,57,2019-06-11,2022-06-10,6,1,0
1246746679971163672,random_3y_058_20220629,random_3y,3,58,2022-06-29,2025-06-28,6,1,0
1246746679971163672,random_3y_059_20220531,random_3y,3,59,2022-05-31,2025-05-30,5,1,0
1246746679971163672,random_3y_060_20221202,random_3y,3,60,2022-12-02,2025-12-01,12,1,0
1246746679971163672,random_3y_061_20210301,random_3y,3,61,2021-03-01,2024-02-29,3,1,0
1246746679971163672,random_3y_062_20200420,random_3y,3,62,2020-04-20,2023-04-19,4,1,0
1246746679971163672,random_3y_063_20210805,random_3y,3,63,2021-08-05,2024-08-04,8,1,0
1246746679971163672,random_3y_064_20190920,random_3y,3,64,2019-09-20,2022-09-19,9,1,0
