rank,chart_file,vt_symbol,direction,entry_date,pre_entry_15m_structure,entry_location,entry_day_behavior,immediate_follow_through,breakout_or_reversal,consolidation_then_expansion,visible_adverse_move,path_smoothness,dominant_visual_pattern,confidence,visual_evidence
11,winner_0011_ru2101_SHFE_BACKTESTING_97.png,ru2101.SHFE,long,2020-10-15,trend_same_direction,breakout_edge,two_way_chop,yes_same_day_or_next,continuation_breakout,yes,moderate,medium,突破后回踩再恢复,high,入场前强势上行；入场后回落至线下；下一日重新站上并继续扩张
12,winner_0012_FG201_CZCE_BACKTESTING_222.png,FG201.CZCE,short,2021-09-13,trend_same_direction,breakout_edge,directional_expansion,yes_same_day_or_next,continuation_breakout,yes,none_or_small,high,平台下沿直接加速下破,high,入场前清晰下行并在入场价附近压缩；入场日出现断崖式下破；其后继续阶梯走低
13,winner_0013_sp2009_SHFE_BACKTESTING_27.png,sp2009.SHFE,short,2020-04-15,range_or_compression,breakout_edge,directional_then_flat,delayed_2plus_days,range_breakout,yes,moderate,medium,长平台后延迟下破,high,入场前在4600附近横向压缩；当日仅小幅偏下；约两日后才形成有效下破
14,winner_0014_jm2005_DCE_BACKTESTING_10.png,jm2005.DCE,long,2020-02-11,trend_same_direction,breakout_edge,directional_expansion,yes_same_day_or_next,continuation_breakout,yes,none_or_small,high,高位紧平台后的强突破,high,入场前有序上行并在高位收紧；入场日跳升突破；之后维持高位并延续
15,winner_0015_si2509_GFEX_BACKTESTING_564.png,si2509.GFEX,long,2025-07-10,reversal_or_base,breakout_edge,directional_expansion,yes_same_day_or_next,reversal,yes,none_or_small,medium,回落筑底后的跳升反转,high,前段上涨后回落并筑底；入场日跳到线之上继续走高；次日虽回踩仍再扩张
16,winner_0016_lc2407_GFEX_BACKTESTING_475.png,lc2407.GFEX,short,2024-05-31,trend_same_direction,pullback_or_retest,directional_expansion,yes_same_day_or_next,continuation_breakout,yes,moderate,medium,小幅逆向后顺势下破,high,入场前偏空；入场初段略高于入场线；随后快速跌破并在后续时段延续
17,winner_0017_hc2101_SHFE_BACKTESTING_81.png,hc2101.SHFE,long,2020-09-03,trend_same_direction,inside_range,counter_direction,no_or_not_visible,unclear,no,large,low,入场后即出现失败上破,high,入场前虽上涨但入场位处高位盘整；随后15分钟图持续明显跌破入场价；未见同期有利延续
18,winner_0018_fu2509_SHFE_BACKTESTING_561.png,fu2509.SHFE,long,2025-06-12,partial_or_discontinuous,gap_or_jump,directional_expansion,yes_same_day_or_next,continuation_breakout,unclear,none_or_small,low,大跳空阶梯式上涨,low,分钟图存在2950到3000再到3200附近的巨大断层；方向有利但路径主要由跳空构成
19,winner_0019_hc2110_SHFE_BACKTESTING_170.png,hc2110.SHFE,long,2021-04-23,trend_same_direction,breakout_edge,directional_expansion,yes_same_day_or_next,continuation_breakout,yes,none_or_small,high,高位压缩后的顺势突破,high,入场前明显上行；线附近形成紧平台；入场后立即突破并平滑上涨
20,winner_0020_jm2401_DCE_BACKTESTING_432.png,jm2401.DCE,long,2023-11-03,range_or_compression,breakout_edge,directional_expansion,yes_same_day_or_next,range_breakout,yes,none_or_small,high,箱体上沿强势突破,high,入场前在1795附近反复震荡；入场日大阳线突破至1850上方；后续阶梯上涨
21,winner_0021_AP201_CZCE_BACKTESTING_235.png,AP201.CZCE,long,2021-10-12,trend_same_direction,gap_or_jump,two_way_chop,mixed,continuation_breakout,unclear,large,low,跳空后大幅洗盘再上行,high,入场前已上行；入场后跳升但下一日急跌远低于入场线；此后才恢复为震荡上升
22,winner_0022_ru2501_SHFE_BACKTESTING_499.png,ru2501.SHFE,long,2024-09-12,trend_same_direction,pullback_or_retest,directional_expansion,yes_same_day_or_next,continuation_breakout,yes,none_or_small,high,强趋势小回踩后再加速,high,入场前强势抬高；线附近只做轻微回踩；入场日转强并立即延续
23,winner_0023_lc2601_GFEX_BACKTESTING_591.png,lc2601.GFEX,long,2025-11-12,trend_same_direction,breakout_edge,two_way_chop,delayed_2plus_days,continuation_breakout,yes,none_or_small,medium,高位平台后延迟跳升,high,入场前强升后在高位压缩；入场日未突破；约两日后出现明显台阶式扩张
24,winner_0024_fu2503_SHFE_BACKTESTING_524.png,fu2503.SHFE,long,2024-12-17,trend_same_direction,inside_range,two_way_chop,no_or_not_visible,continuation_breakout,unclear,none_or_small,medium,上升趋势中的有限窗口盘整,low,入场前强势上涨；入场后可见窗口内主要高位震荡并缓慢抬升；最终退出在分钟窗之外
25,winner_0025_OI201_CZCE_BACKTESTING_227.png,OI201.CZCE,long,2021-09-24,trend_same_direction,breakout_edge,two_way_chop,delayed_2plus_days,continuation_breakout,yes,large,low,高位入场后深回撤再突破,high,入场前上涨；入场后数日先回落约300点；之后才重新上破并走高
26,winner_0026_OI009_CZCE_BACKTESTING_53.png,OI009.CZCE,long,2020-07-09,trend_same_direction,breakout_edge,directional_then_flat,yes_same_day_or_next,continuation_breakout,yes,none_or_small,high,紧平台后温和顺势突破,high,入场前稳步上涨；线附近短暂收紧；小回踩后下一日继续上破
27,winner_0027_CF005_CZCE_BACKTESTING_19.png,CF005.CZCE,short,2020-03-13,trend_same_direction,gap_or_jump,directional_expansion,yes_same_day_or_next,continuation_breakout,no,none_or_small,high,趋势中向下跳空续跌,high,入场前已快速下行；入场日跳空穿过入场价并维持弱势；之后继续台阶下移
28,winner_0028_SM205_CZCE_BACKTESTING_294.png,SM205.CZCE,long,2022-03-03,reversal_or_base,inside_range,two_way_chop,mixed,reversal,yes,large,low,平台内先杀跌再强反转,high,入场前V形修复后横盘；入场后次日先大跌到线下；随后爆发式恢复并上行
29,winner_0029_fu2409_SHFE_BACKTESTING_479.png,fu2409.SHFE,long,2024-06-25,reversal_or_base,pullback_or_retest,two_way_chop,mixed,reversal,yes,moderate,medium,回落平台中的震荡回升,high,入场前上涨后回落盘整；入场位靠近支撑；先反弹又回踩后才缓慢走高
30,winner_0030_sp2205_SHFE_BACKTESTING_284.png,sp2205.SHFE,long,2022-02-09,range_or_compression,inside_range,two_way_chop,no_or_not_visible,unclear,no,moderate,low,高位横盘且可见窗无突破,low,入场后很快跌到线下并在五日窗口内持续横盘；最终退出远在分钟窗口之后
31,winner_0031_fu2411_SHFE_BACKTESTING_498.png,fu2411.SHFE,short,2024-09-04,trend_same_direction,breakout_edge,directional_expansion,yes_same_day_or_next,continuation_breakout,no,none_or_small,high,下行跳空直接续跌,high,入场前快速下行；入场日向下跳过入场线；后续连续走低且几乎无明显逆向波动
32,winner_0032_rb2110_SHFE_BACKTESTING_169.png,rb2110.SHFE,long,2021-04-21,reversal_or_base,breakout_edge,directional_then_flat,yes_same_day_or_next,range_breakout,yes,none_or_small,high,更高低点平台后的突破,high,入场前横盘并逐步抬高低点；入场日收紧；下一日突破后阶梯上行
33,winner_0033_AP505_CZCE_BACKTESTING_548.png,AP505.CZCE,long,2025-03-28,reversal_or_base,pullback_or_retest,directional_expansion,yes_same_day_or_next,reversal,yes,none_or_small,high,跳升回踩后的再启动,high,入场前先跳升后回踩并转强；入场日持续上涨；次日继续突破
34,winner_0034_fu2209_SHFE_BACKTESTING_333.png,fu2209.SHFE,short,2022-07-06,trend_same_direction,gap_or_jump,directional_expansion,yes_same_day_or_next,continuation_breakout,no,none_or_small,high,强下跌中的向下跳空,high,入场前趋势显著向下；入场日跳空跌过入场价；随后平滑续跌至低位平台
35,winner_0035_si2310_GFEX_BACKTESTING_418.png,si2310.GFEX,long,2023-08-24,mixed_or_opposite,pullback_or_retest,directional_expansion,yes_same_day_or_next,reversal,no,moderate,low,短持仓内冲高但随后剧烈回落,medium,入场日先下探再拉升；下一日出现有利冲高；其后可见路径急跌但可能已在退出之后
36,winner_0036_hc2105_SHFE_BACKTESTING_162.png,hc2105.SHFE,long,2021-03-23,trend_same_direction,pullback_or_retest,two_way_chop,yes_same_day_or_next,continuation_breakout,yes,moderate,medium,上升趋势回踩后突破,high,入场前阶梯上涨；入场日下探线下再回收；下一日整理后继续上破
37,winner_0037_ru2505_SHFE_BACKTESTING_549.png,ru2505.SHFE,short,2025-04-01,trend_same_direction,breakout_edge,counter_direction,mixed,unclear,no,large,low,短暂下破后完全反向,high,入场前处于明显下跌趋势末端；入场日先有利下探；随后迅速反转并持续高于入场线
38,winner_0038_CF105_CZCE_BACKTESTING_143.png,CF105.CZCE,long,2021-02-10,trend_same_direction,breakout_edge,directional_then_flat,yes_same_day_or_next,continuation_breakout,yes,none_or_small,high,高位紧缩后的节后跳升,high,入场前强势上行并在高位压缩；入场日小幅上破；下一可交易时段跳升延续
39,winner_0039_hc2010_SHFE_BACKTESTING_30.png,hc2010.SHFE,long,2020-05-13,range_or_compression,breakout_edge,two_way_chop,delayed_2plus_days,range_breakout,yes,moderate,medium,假突破回落后延迟跳升,high,入场日先冲高后完全回到线下；次日恢复；再后一时段才出现明显跳升
40,winner_0040_ru2105_SHFE_BACKTESTING_144.png,ru2105.SHFE,long,2021-02-10,trend_same_direction,pullback_or_retest,counter_direction,yes_same_day_or_next,continuation_breakout,unclear,moderate,medium,入场日回落后节后跳升,high,入场日大部分时间位于线下；下一可交易时段直接跳升至明显高位
41,winner_0041_jm2609_DCE_BACKTESTING_626.png,jm2609.DCE,long,2026-06-03,reversal_or_base,turning_point,directional_expansion,yes_same_day_or_next,reversal,no,none_or_small,high,日内探底回升后隔夜跳升,high,入场价接近当日低点；其后单边抬升到1380附近；下一时段跳到1390以上并继续走高
42,winner_0042_MA201_CZCE_BACKTESTING_216.png,MA201.CZCE,long,2021-09-06,trend_same_direction,breakout_edge,directional_then_flat,yes_same_day_or_next,continuation_breakout,yes,none_or_small,high,趋势平台后连续抬升,high,入场前已形成多级上升；入场日围绕2900收紧；次日起连续上破至3100上方
43,winner_0043_fu2205_SHFE_BACKTESTING_303.png,fu2205.SHFE,long,2022-03-30,mixed_or_opposite,turning_point,directional_expansion,yes_same_day_or_next,reversal,no,none_or_small,high,下跌末端大幅低开反转,high,入场前连续下行；入场日在3750附近低开并持续拉升到4030；下一日仍高于入场线
44,winner_0044_jm2201_DCE_BACKTESTING_245.png,jm2201.DCE,short,2021-11-15,trend_same_direction,breakout_edge,directional_expansion,yes_same_day_or_next,continuation_breakout,yes,none_or_small,high,下跌趋势直接加速破位,high,入场前长期阶梯下行；入场日从2120附近快速跌破2098；随后持续下探至1850附近
45,winner_0045_ru2101_SHFE_BACKTESTING_120.png,ru2101.SHFE,long,2020-12-01,trend_same_direction,pullback_or_retest,two_way_chop,mixed,continuation_breakout,yes,moderate,medium,回踩入场线后次日再启动,high,入场前急升后回落到线附近；入场日横盘；次日先下探再快速上破
46,winner_0046_fu2509_SHFE_BACKTESTING_576.png,fu2509.SHFE,short,2025-08-07,trend_same_direction,pullback_or_retest,directional_expansion,yes_same_day_or_next,continuation_breakout,yes,none_or_small,high,下行趋势反抽入场线后续跌,high,入场前已由2950下行至2800附近；入场时反抽2851；当日即转弱并持续下跌
47,winner_0047_fu2311_SHFE_BACKTESTING_423.png,fu2311.SHFE,long,2023-09-06,trend_same_direction,breakout_edge,directional_expansion,yes_same_day_or_next,continuation_breakout,yes,none_or_small,high,趋势平台后的大幅跳升,high,入场前逐级上涨并在3593附近短暂收紧；入场日快速跳升到3720以上并维持
48,winner_0048_lh2301_DCE_BACKTESTING_361.png,lh2301.DCE,short,2022-12-09,trend_same_direction,pullback_or_retest,directional_expansion,yes_same_day_or_next,continuation_breakout,yes,none_or_small,high,顺势回抽后下破并跳空,high,入场前阶梯下行；入场日先在19355上方轻微回抽后跌至18900；次日再向下跳空
49,winner_0049_CF205_CZCE_BACKTESTING_272.png,CF205.CZCE,long,2022-01-12,trend_same_direction,inside_range,two_way_chop,yes_same_day_or_next,continuation_breakout,yes,moderate,medium,缓升趋势中的入场日震荡,high,入场前总体逐步抬高；入场日围绕21180上下震荡；次日开始更明显上破
50,winner_0050_CF109_CZCE_BACKTESTING_191.png,CF109.CZCE,long,2021-07-05,reversal_or_base,breakout_edge,directional_expansion,yes_same_day_or_next,reversal,yes,none_or_small,medium,跳升回踩后的平台突破,high,入场前先大幅跳升后回踩；入场日从16200附近上破；随后延续至16450上方
51,winner_0051_rb2010_SHFE_BACKTESTING_29.png,rb2010.SHFE,long,2020-05-12,range_or_compression,inside_range,two_way_chop,delayed_2plus_days,range_breakout,yes,moderate,low,长时间横盘后的延迟突破,high,入场时仍在3440到3465区间；短暂上冲后回落并继续盘整；数日后才出现跳升
52,winner_0052_jm2405_DCE_BACKTESTING_456.png,jm2405.DCE,short,2024-03-29,trend_same_direction,breakout_edge,directional_expansion,yes_same_day_or_next,continuation_breakout,yes,none_or_small,high,下跌趋势平台后再破位,high,入场前持续下行并在1564附近短暂横盘；入场日立即向下扩张至1480附近
53,winner_0053_sp2012_SHFE_BACKTESTING_73.png,sp2012.SHFE,long,2020-08-24,range_or_compression,breakout_edge,directional_then_flat,yes_same_day_or_next,range_breakout,yes,none_or_small,high,长底部平台后的有序突破,high,入场前多日窄幅底部；入场时突破4618；随后连续阶梯上升且回撤有限
54,winner_0054_ru2509_SHFE_BACKTESTING_551.png,ru2509.SHFE,short,2025-04-07,partial_or_discontinuous,gap_or_jump,directional_expansion,yes_same_day_or_next,continuation_breakout,no,none_or_small,low,巨大向下断层后的获利,low,15分钟图从16200附近直接断到14950附近且穿过15580入场线；后续方向有利但价格发现不可见
55,winner_0055_OI105_CZCE_BACKTESTING_150.png,OI105.CZCE,long,2021-02-23,trend_same_direction,breakout_edge,directional_expansion,yes_same_day_or_next,continuation_breakout,yes,none_or_small,high,上升趋势小平台后续涨,high,入场前逐级抬升；线附近短暂压缩；入场日持续上行并在后续时段延续
56,winner_0056_jm2209_DCE_BACKTESTING_334.png,jm2209.DCE,short,2022-07-06,trend_same_direction,inside_range,two_way_chop,delayed_2plus_days,continuation_breakout,yes,large,low,入场后先反向上冲再续跌,high,总体趋势向下但入场日反复穿越2230；下一日升至2330附近；数日后才恢复下行
57,winner_0057_SH405_CZCE_BACKTESTING_455.png,SH405.CZCE,short,2024-03-26,trend_same_direction,pullback_or_retest,directional_expansion,yes_same_day_or_next,continuation_breakout,yes,moderate,high,下降平台回抽后平滑续跌,high,入场前下行并在2576附近整固；入场日先小幅反抽再跌破；之后连续阶梯走低
58,winner_0058_SM605_CZCE_BACKTESTING_618.png,SM605.CZCE,long,2026-03-06,range_or_compression,breakout_edge,directional_then_flat,yes_same_day_or_next,range_breakout,yes,moderate,medium,长期区间后的次日扩张,high,入场前围绕6088形成较长平台；入场日仅轻微抬高；次日冲至6300后虽回撤仍维持线之上
59,winner_0059_ru2501_SHFE_BACKTESTING_496.png,ru2501.SHFE,long,2024-08-23,trend_same_direction,pullback_or_retest,two_way_chop,yes_same_day_or_next,continuation_breakout,yes,none_or_small,medium,上升趋势中的剧烈回踩后续涨,high,入场前总体抬高；入场日多次长影穿越16210；收盘后继续阶梯上行
60,winner_0060_SM309_CZCE_BACKTESTING_403.png,SM309.CZCE,long,2023-07-19,reversal_or_base,breakout_edge,directional_expansion,yes_same_day_or_next,reversal,yes,none_or_small,high,下跌修复后的平台上破,high,入场前先大幅下跌后持续回升到6646；入场日直接扩张至6725上方
61,winner_0061_SM101_CZCE_BACKTESTING_114.png,SM101.CZCE,long,2020-11-26,trend_same_direction,breakout_edge,directional_expansion,mixed,continuation_breakout,no,large,low,先上破后次日深度回吐,high,入场前清晰上涨；入场日继续冲高；下一日急跌至6160附近后才恢复
62,winner_0062_MA501_CZCE_BACKTESTING_511.png,MA501.CZCE,long,2024-11-06,range_or_compression,inside_range,counter_direction,no_or_not_visible,unclear,no,large,low,高位区间入场后持续回落,high,入场前为宽幅震荡区间；入场日在2505附近转弱；随后多日大部分位于入场线下
63,winner_0063_cu2104_SHFE_BACKTESTING_145.png,cu2104.SHFE,long,2021-02-22,partial_or_discontinuous,gap_or_jump,directional_expansion,yes_same_day_or_next,continuation_breakout,unclear,none_or_small,medium,多级跳升驱动的突破,medium,入场前已急升；入场日从64460继续多段跳升至67000上方；后续仍上涨但跳空占比高
64,winner_0064_rb2101_SHFE_BACKTESTING_107.png,rb2101.SHFE,long,2020-11-05,trend_same_direction,pullback_or_retest,two_way_chop,yes_same_day_or_next,continuation_breakout,yes,moderate,medium,上升趋势回踩后次日恢复,high,入场前持续上行；入场日先跌到3740附近；下一日重新站上线并继续上升
65,winner_0065_SM105_CZCE_BACKTESTING_136.png,SM105.CZCE,long,2021-01-06,trend_same_direction,breakout_edge,directional_expansion,yes_same_day_or_next,continuation_breakout,yes,none_or_small,high,顺势跳升后继续扩张,high,入场前由低位持续抬升；入场日跳过7038并在日内收紧；随后继续加速至7600上方
66,winner_0066_MA205_CZCE_BACKTESTING_293.png,MA205.CZCE,long,2022-03-03,trend_same_direction,pullback_or_retest,directional_expansion,yes_same_day_or_next,continuation_breakout,yes,none_or_small,medium,波动上升中的回踩再突破,high,入场前虽有跳空但总体上升；入场日从3028附近快速拉升到3150左右；后续保持高位
67,winner_0067_jm2201_DCE_BACKTESTING_232.png,jm2201.DCE,long,2021-09-30,trend_same_direction,breakout_edge,directional_expansion,yes_same_day_or_next,continuation_breakout,yes,none_or_small,high,强趋势中的日内加速突破,high,入场前已从2900持续抬高；入场日越过3020.5后加速至3300附近；随后继续上涨
68,winner_0068_CF309_CZCE_BACKTESTING_389.png,CF309.CZCE,long,2023-06-05,trend_same_direction,pullback_or_retest,directional_expansion,yes_same_day_or_next,continuation_breakout,yes,none_or_small,high,强趋势回踩后的再加速,high,入场前从15500上升后回踩到16200；入场日穿越16340并迅速升至16800附近
69,winner_0069_OI101_CZCE_BACKTESTING_104.png,OI101.CZCE,long,2020-10-27,partial_or_discontinuous,inside_range,two_way_chop,delayed_2plus_days,unclear,unclear,moderate,medium,入场日前窗缺失后的延迟抬升,low,15分钟图几乎从入场日开始且缺少前五日；初段位于9340下方；之后一日才持续走高
70,winner_0070_au2510_SHFE_BACKTESTING_582.png,au2510.SHFE,long,2025-09-02,trend_same_direction,breakout_edge,directional_then_flat,yes_same_day_or_next,continuation_breakout,yes,none_or_small,high,低波动阶梯趋势持续上行,high,入场前非常平滑地逐级抬高；入场日在线上窄幅平台；后续按台阶继续上涨
71,winner_0071_MA009_CZCE_BACKTESTING_47.png,MA009.CZCE,long,2020-07-02,range_or_compression,breakout_edge,directional_expansion,yes_same_day_or_next,range_breakout,yes,none_or_small,high,箱体边缘的日内强突破,high,入场前围绕1751宽幅震荡；入场日先收紧后快速拉升至1790以上；后续维持较高平台
